id_city_name,city_name,zip_code,department_code
209,Cassis,13260,13
210,Châteauneuf-les-Martigues,13220,13
211,Marseille 3e Arrondissement,13003,13
212,Marseille 4e Arrondissement,13004,13
213,Marseille 7e Arrondissement,13007,13
214,Marseille 8e Arrondissement,13008,13
215,Aubagne,13400,13
216,Auriol,13390,13
217,Berre-l'Étang,13130,13
218,Bouc-Bel-Air,13320,13
219,La Bouilladisse,13720,13
220,Cabannes,13440,13
221,Blyes,01150,01
222,Brégnier-Cordon,01300,01
223,Ceyzériat,01250,01
224,Champagne-en-Valromey,01260,01
225,Châtenay,01320,01
226,Chaveyriat,01660,01
227,Chazey-sur-Ain,01150,01
228,Chevroux,01190,01
229,Civrieux,01390,01
230,Bresse Vallons,01340,01
231,Crottet,01290,01
232,Marboz,01851,01
233,Meillonnas,01370,01
234,Meximieux,01800,01
235,Montagnat,01250,01
236,Montceaux,01090,01
237,Montmerle-sur-Saône,01090,01
238,Montréal-la-Cluse,01460,01
239,Nantua,01130,01
240,Neuville-les-Dames,01400,01
241,Oyonnax,01100,01
242,Péron,01630,01
243,Péronnas,01960,01
244,Polliat,01310,01
245,Poncin,01450,01
246,Pont-de-Vaux,01190,01
247,Pont-de-Veyle,01290,01
248,Prévessin-Moëns,01280,01
249,Saint-André-de-Corcy,01390,01
250,Saint-André-sur-Vieux-Jonc,01960,01
251,Saint-Denis-lès-Bourg,01000,01
252,Saint-Didier-sur-Chalaronne,01140,01
253,Saint-Genis-Pouilly,01630,01
254,Saint-Jean-le-Vieux,01640,01
255,Saint-Jean-sur-Veyle,01290,01
256,Saint-Maurice-de-Beynost,01700,01
257,Saint-Maurice-de-Gourdans,01800,01
258,Saint-Nizier-le-Désert,01320,01
259,Saint-Rambert-en-Bugey,01230,01
260,Saint-Rémy,01310,01
261,Saint-Trivier-de-Courtes,01560,01
262,Saint-Vulbas,01150,01
263,Sault-Brénaz,01150,01
264,Sergy,01630,01
265,Servas,01960,01
266,Thil,01120,01
267,Thoiry,01710,01
268,Tossiat,01250,01
269,Toussieux,01600,01
270,Val-Revermont,01370,01
271,Trévoux,01600,01
272,Varambon,01160,01
273,Villars-les-Dombes,01330,01
274,Villereversure,01250,01
275,Villette-sur-Ain,01320,01
276,Viriat,01440,01
277,Vonnas,01540,01
278,Anizy-le-Grand,02320,02
279,Athies-sous-Laon,02840,02
280,Aulnois-sous-Laon,02000,02
281,Beaurevoir,02110,02
282,Beautor,02800,02
283,Belleu,02200,02
284,Bohain-en-Vermandois,02110,02
285,Brissy-Hamégicourt,02240,02
286,Bucy-le-Long,02880,02
287,Buire,02500,02
288,La Capelle,02260,02
289,Chambry,02000,02
290,Charly-sur-Marne,02310,02
291,Charmes,02800,02
292,Château-Thierry,02400,02
293,Chauny,02300,02
294,Chavignon,02000,02
295,Chevennes,02250,02
296,Clacy-et-Thierret,02000,02
297,Coucy-le-Château-Auffrique,02380,02
298,Couvron-et-Aumencourt,02270,02
299,Crécy-sur-Serre,02270,02
300,Crépy,02870,02
301,Cuffies,02880,02
302,Esquéhéries,02170,02
303,Fayet,02100,02
304,La Fère,02800,02
305,Fère-en-Tardenois,02130,02
306,La Ferté-Chevresis,02270,02
307,La Ferté-Milon,02460,02
308,La Flamengrie,02260,02
309,Fresnoy-le-Grand,02230,02
310,Gauchy,02430,02
311,Gricourt,02100,02
312,Villeneuve-sur-Aisne,02190,02
313,Guise,02120,02
314,Harly,02100,02
315,Hirson,02500,02
316,Homblières,02720,02
317,Jaulgonne,02850,02
318,Jussy,02480,02
319,Laon,02000,02
320,Mesnil-Saint-Laurent,02720,02
321,Mons-en-Laonnois,02000,02
322,Montaigu,02820,02
323,Montigny-Lengrain,02290,02
324,Moÿ-de-l'Aisne,02610,02
325,Neuville-Saint-Amand,02100,02
326,Nizy-le-Comte,02150,02
327,Nogent-l'Artaud,02310,02
328,Le Nouvion-en-Thiérache,02170,02
329,Nouvion-le-Comte,02800,02
330,Omissy,02100,02
331,Origny-Sainte-Benoite,02390,02
332,Oulchy-le-Château,02210,02
